Person,2017-07-04 10:46:00 - Otro Documento,2017-07-04 13:28:00 - P. Resolución N° 891,2017-07-04 13:29:00 - P. Resolución N° 892,2017-07-04 13:29:00 - P. Resolución N° 893,2017-07-04 13:30:00 - P. Resolución N° 894,2017-07-04 13:31:00 - Boletín N° 10545-08,2017-07-04 13:32:00 - Boletín N° 10545-08,2017-07-04 13:33:00 - Boletín N° 10545-08,2017-07-04 18:31:00 - Otro Documento,2017-07-05 13:56:00 - Boletín N° 10277-06,2017-07-05 13:57:00 - Boletín N° 10277-06,2017-07-05 13:58:00 - Boletín N° 10277-06,2017-07-05 13:59:00 - Boletín N° 10277-06,2017-07-05 14:00:00 - Boletín N° 10277-06,2017-07-05 18:02:00 - P. Resolución N° 941,2017-07-05 18:04:00 - P. Resolución N° 942,2017-07-05 18:05:00 - P. Resolución N° 943,2017-07-05 18:08:00 - P. Resolución N° 944,2017-07-06 12:18:00 - P. Resolución N° 947,2017-07-06 12:21:00 - Boletín N° 10207-10
"Jiménez Fuentes, Tucapel",,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Farcas Guendelman, Daniel",,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Ceroni Fuentes, Guillermo",-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0
"Carvajal Ambiado, Loreto",,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Campos Jara, Cristián",,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0
"Alvarado Ramírez, Miguel Ángel",-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Letelier Norambuena, Felipe",,,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,-2.0
"Núñez Lozano, Marco Antonio",,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,,,,,,,,,,1.0,1.0
"Tarud Daccarett, Jorge",,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,-2.0
"González Torres, Rodrigo",,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0
"Jaramillo Becker, Enrique",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"León Ramírez, Roberto",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0
"Flores García, Iván",,1.0,1.0,1.0,1.0,1.0,,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
"Espejo Yaksic, Sergio",,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,,,,,1.0,,,,1.0,1.0
"Cornejo González, Aldo",1.0,1.0,,1.0,1.0,-2.0,-1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,1.0
"Chávez Velásquez, Marcelo",,,,,,,,,,-1.0,-1.0,-1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0
"Chahin Valenzuela, Fuad",,1.0,1.0,1.0,1.0,-2.0,-1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,-1.0
"Arriagada Macaya, Claudio",-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Ortiz Novoa, José Miguel",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Lorenzini Basso, Pablo",1.0,,1.0,1.0,1.0,1.0,1.0,1.0,-3.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,-2.0
"Walker Prieto, Matías",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0
"Venegas Cárdenas, Mario",,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
"Vallespín López, Patricio",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
"Torres Jeldes, Víctor",-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Silber Romo, Gabriel",-1.0,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Sabag Villalobos, Jorge",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
"Rincón González, Ricardo",,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
"Morano Cornejo, Juan Enrique",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,,1.0,,,,,
"Pilowsky Greene, Jaime",,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,,,,,,,,,,1.0,1.0
"Ojeda Uribe, Sergio",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
"Provoste Campillay, Yasna",-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Godoy Ibáñez, Joaquín",,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,
"Mirosevic Verdugo, Vlado",,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,
"Kast Sommerhoff, Felipe",,-2.0,1.0,1.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0
"Auth Stewart, Pepe",1.0,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,-2.0
"Browne Urrejola, Pedro",,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0
"Fuentes Castillo, Iván",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0
"Boric Font, Gabriel",,1.0,1.0,,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,-1.0
"Poblete Zapata, Roberto",-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Rubilar Barahona, Karla",,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
"Saffirio Espinoza, René",1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,,,,,-1.0,-1.0
"Sepúlveda Orbenes, Alejandra",,1.0,1.0,1.0,1.0,-2.0,1.0,1.0,-1.0,,,,,,1.0,1.0,1.0,1.0,,-1.0
"Kast Rist, José Antonio",,1.0,1.0,1.0,1.0,-2.0,-1.0,-1.0,,,,,,,,,,,,
"Pérez Lahsen, Leopoldo",1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0
"Jackson Drago, Giorgio",-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-1.0
"Verdugo Soto, Germán",1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0
"Santana Tirachini, Alejandro",,1.0,1.0,1.0,1.0,1.0,-1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,
