Person,2017-07-04 10:46:00 - Otro Documento,2017-07-04 13:28:00 - P. Resolución N° 891,2017-07-04 13:29:00 - P. Resolución N° 892,2017-07-04 13:29:00 - P. Resolución N° 893,2017-07-04 13:30:00 - P. Resolución N° 894,2017-07-04 13:31:00 - Boletín N° 10545-08,2017-07-04 13:32:00 - Boletín N° 10545-08,2017-07-04 13:33:00 - Boletín N° 10545-08,2017-07-04 18:31:00 - Otro Documento,2017-07-05 13:56:00 - Boletín N° 10277-06,2017-07-05 13:57:00 - Boletín N° 10277-06,2017-07-05 13:58:00 - Boletín N° 10277-06,2017-07-05 13:59:00 - Boletín N° 10277-06,2017-07-05 14:00:00 - Boletín N° 10277-06,2017-07-05 18:02:00 - P. Resolución N° 941,2017-07-05 18:04:00 - P. Resolución N° 942,2017-07-05 18:05:00 - P. Resolución N° 943,2017-07-05 18:08:00 - P. Resolución N° 944,2017-07-06 12:18:00 - P. Resolución N° 947,2017-07-06 12:21:00 - Boletín N° 10207-10
"Espinosa Monardes, Marcos",-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
"Alvarez Vera, Jenny",,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
"Cicardini Milla, Daniella",,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,-2.0
"Espinoza Sandoval, Fidel",1.0,1.0,1.0,,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Andrade Lara, Osvaldo",-1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,-1.0
"Castro González, Juan Luis",,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
"Fernández Allende, Maya",,,,,,,,,,,,,,,,,,,,
"Urízar Muñoz, Christian",,1.0,1.0,1.0,1.0,-1.0,-2.0,-2.0,,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0
"Soto Ferrada, Leonardo",,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0
"Schilling Rodríguez, Marcelo",-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,1.0,-2.0
"Saldívar Auger, Raúl",-1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0
"Rocafull López, Luis",,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,,,,,,
"Pacheco Rivas, Clemira",,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,-1.0
"Monsalve Benavides, Manuel",,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,,,,,,
"Aguiló Melo, Sergio",,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,-1.0
"Lemus Aracena, Luis",,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Melo Contreras, Daniel",-2.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.0
"Farías Ponce, Ramón",,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,1.0,1.0
"Girardi Lavín, Cristina",,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,-2.0
