name1,name2,party,sort
"Schilling Rodríguez, Marcelo",Sr. Schilling R. Marcelo,Partido Socialista,-5
"Soto Ferrada, Leonardo",Sr. Soto F. Leonardo,Partido Socialista,-5
"Urízar Muñoz, Christian",Sr. Urízar M. Christian,Partido Socialista,-5
"Becker Alvear, Germán",Sr. Becker A. Germán,Renovación Nacional,8
"Berger Fett, Bernardo",Sr. Berger F. Bernardo,Renovación Nacional,8
"Edwards Silva, Rojo",Sr. Edwards S. Rojo,Renovación Nacional,8
"Fuenzalida Figueroa, Gonzalo",Sr. Fuenzalida F. Gonzalo,Renovación Nacional,8
"García García, René Manuel",Sr. García G. René Manuel,Renovación Nacional,8
n/a,Sr. Martínez L. Rosauro,Renovación Nacional,8
"Monckeberg Bruner, Cristián",Sr. Monckeberg B. Cristián,Renovación Nacional,8
"Monckeberg Díaz, Nicolás",Sr. Monckeberg D. Nicolás,Renovación Nacional,8
"Núñez Urrutia, Paulina",Sra. Núñez U. Paulina,Renovación Nacional,8
"Paulsen Kehr, Diego",Sr. Paulsen K. Diego,Renovación Nacional,8
"Pérez Lahsen, Leopoldo",Sr. Pérez L. Leopoldo,Renovación Nacional,8
"Rathgeb Schifferli, Jorge",Sr. Rathgeb S. Jorge,Renovación Nacional,8
"Sabat Fernández, Marcela",Sra. Sabat F. Marcela,Renovación Nacional,8
"Santana Tirachini, Alejandro",Sr. Santana T. Alejandro,Renovación Nacional,8
"Verdugo Soto, Germán",Sr. Verdugo S. Germán,Renovación Nacional,8
"Jackson Drago, Giorgio",Sr. Jackson D. Giorgio,Revolución Democrática,-4
"Alvarez-Salamanca Ramírez, Pedro Pablo",Sr. Alvarez-Salamanca R. Pedro Pablo,Unión Demócrata Independiente,10
"Barros Montero, Ramón",Sr. Barros M. Ramón,Unión Demócrata Independiente,10
"Bellolio Avaria, Jaime",Sr. Bellolio A. Jaime,Unión Demócrata Independiente,10
"Coloma Alamos, Juan Antonio",Sr. Coloma A. Juan Antonio,Unión Demócrata Independiente,10
"De Mussy Hiriart, Felipe",Sr. De Mussy H. Felipe,Unión Demócrata Independiente,10
"Gahona Salazar, Sergio",Sr. Gahona S. Sergio,Unión Demócrata Independiente,10
"Gutiérrez Pino, Romilio",Sr. Gutiérrez P. Romilio,Unión Demócrata Independiente,10
"Hasbún Selume, Gustavo",Sr. Hasbún S. Gustavo,Unión Demócrata Independiente,10
"Hernández Hernández, Javier",Sr. Hernández H. Javier,Unión Demócrata Independiente,10
"Hoffmann Opazo, María José",Sra. Hoffmann O. María José,Unión Demócrata Independiente,10
"Kort Garriga, Issa",Sr. Kort G. Issa,Unión Demócrata Independiente,10
"Lavín León, Joaquín",Sr. Lavín L. Joaquín,Unión Demócrata Independiente,10
"Macaya Danús, Javier",Sr. Macaya D. Javier,Unión Demócrata Independiente,10
"Melero Abaroa, Patricio",Sr. Melero A. Patricio,Unión Demócrata Independiente,10
"Molina Oliva, Andrea",Sra. Molina O. Andrea,Unión Demócrata Independiente,10
"Morales Muñoz, Celso",Sr. Morales M. Celso,Unión Demócrata Independiente,10
"Nogueira Fernández, Claudia",Sra. Nogueira F. Claudia,Unión Demócrata Independiente,10
"Norambuena Farías, Iván",Sr. Norambuena F. Iván,Unión Demócrata Independiente,10
"Sandoval Plaza, David",Sr. Sandoval P. David,Unión Demócrata Independiente,10
"Silva Méndez, Ernesto",Sr. Silva M. Ernesto,Unión Demócrata Independiente,10
"Squella Ovalle, Arturo",Sr. Squella O. Arturo,Unión Demócrata Independiente,10
"Trisotti Martínez, Renzo",Sr. Trisotti M. Renzo,Unión Demócrata Independiente,10
"Turres Figueroa, Marisol",Sra. Turres F. Marisol,Unión Demócrata Independiente,10
"Ulloa Aguillón, Jorge",Sr. Ulloa A. Jorge,Unión Demócrata Independiente,10
"Urrutia Soto, Osvaldo",Sr. Urrutia S. Osvaldo,Unión Demócrata Independiente,10
"Urrutia Bonilla, Ignacio",Sr. Urrutia B. Ignacio,Unión Demócrata Independiente,10
"Van Rysselberghe Herrera, Enrique",Sr. Van Rysselberghe H. Enrique,Unión Demócrata Independiente,10
"Ward Edwards, Felipe",Sr. Ward E. Felipe,Unión Demócrata Independiente,10
