,Person,vote,Fecha,Documento,Materia,Artículo,Tipo,Resultado,Afir.,Neg.,Abst.,Detalle,vote2,date,dateDoc,name1,name2,party,sort
496,"Alvarez Vera, Jenny",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Alvarez Vera, Jenny",Sra. Alvarez V. Jenny,Partido Socialista,-3
497,"Alvarez-Salamanca Ramírez, Pedro Pablo",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Alvarez-Salamanca Ramírez, Pedro Pablo",Sr. Alvarez-Salamanca R. Pedro Pablo,Unión Demócrata Independiente,4
498,"Andrade Lara, Osvaldo",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Andrade Lara, Osvaldo",Sr. Andrade L. Osvaldo,Partido Socialista,-3
499,"Arriagada Macaya, Claudio",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Arriagada Macaya, Claudio",Sr. Arriagada M. Claudio,Partido Demócrata Cristiano,0
500,"Auth Stewart, Pepe",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Auth Stewart, Pepe",Sr. Auth S. Pepe,Independientes,1
501,"Barros Montero, Ramón",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Barros Montero, Ramón",Sr. Barros M. Ramón,Unión Demócrata Independiente,4
502,"Becker Alvear, Germán",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Becker Alvear, Germán",Sr. Becker A. Germán,Renovación Nacional,2
503,"Bellolio Avaria, Jaime",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Bellolio Avaria, Jaime",Sr. Bellolio A. Jaime,Unión Demócrata Independiente,4
504,"Berger Fett, Bernardo",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Berger Fett, Bernardo",Sr. Berger F. Bernardo,Renovación Nacional,2
505,"Boric Font, Gabriel",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Boric Font, Gabriel",Sr. Boric F. Gabriel,Independientes,1
506,"Browne Urrejola, Pedro",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Browne Urrejola, Pedro",Sr. Browne U. Pedro,Independientes,1
507,"Campos Jara, Cristián",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Campos Jara, Cristián",Sr. Campos J. Cristián,Partido Por la Democracia,-2
508,"Cariola Oliva, Karol",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Cariola Oliva, Karol",Sra. Cariola O. Karol,Partido Comunista,-5
509,"Carmona Soto, Lautaro",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Carmona Soto, Lautaro",Sr. Carmona S. Lautaro,Partido Comunista,-5
510,"Carvajal Ambiado, Loreto",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Carvajal Ambiado, Loreto",Sra. Carvajal A. Loreto,Partido Por la Democracia,-2
511,"Castro González, Juan Luis",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Castro González, Juan Luis",Sr. Castro G. Juan Luis,Partido Socialista,-3
512,"Ceroni Fuentes, Guillermo",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Ceroni Fuentes, Guillermo",Sr. Ceroni F. Guillermo,Partido Por la Democracia,-2
513,"Chahin Valenzuela, Fuad",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Chahin Valenzuela, Fuad",Sr. Chahin V. Fuad,Partido Demócrata Cristiano,0
514,"Cicardini Milla, Daniella",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Cicardini Milla, Daniella",Sra. Cicardini M. Daniella,Partido Socialista,-3
515,"Coloma Alamos, Juan Antonio",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Coloma Alamos, Juan Antonio",Sr. Coloma A. Juan Antonio,Unión Demócrata Independiente,4
516,"Cornejo González, Aldo",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Cornejo González, Aldo",Sr. Cornejo G. Aldo,Partido Demócrata Cristiano,0
517,"Edwards Silva, Rojo",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Edwards Silva, Rojo",Sr. Edwards S. Rojo,Renovación Nacional,2
518,"Espinosa Monardes, Marcos",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Espinosa Monardes, Marcos",Sr. Espinosa M. Marcos,Partido Radical Social Demócrata,-4
519,"Espinoza Sandoval, Fidel",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Espinoza Sandoval, Fidel",Sr. Espinoza S. Fidel,Partido Socialista,-3
520,"Farcas Guendelman, Daniel",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Farcas Guendelman, Daniel",Sr. Farcas G. Daniel,Partido Por la Democracia,-2
521,"Flores García, Iván",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Flores García, Iván",Sr. Flores G. Iván,Partido Demócrata Cristiano,0
522,"Fuentes Castillo, Iván",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Fuentes Castillo, Iván",Sr. Fuentes C. Iván,Independientes,1
523,"García García, René Manuel",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"García García, René Manuel",Sr. García G. René Manuel,Renovación Nacional,2
524,"Girardi Lavín, Cristina",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Girardi Lavín, Cristina",Sra. Girardi L. Cristina,Partido Por la Democracia,-2
525,"Godoy Ibáñez, Joaquín",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Godoy Ibáñez, Joaquín",Sr. Godoy I. Joaquín,Amplitud,1
526,"González Torres, Rodrigo",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"González Torres, Rodrigo",Sr. González T. Rodrigo,Partido Por la Democracia,-2
527,"Gutiérrez Gálvez, Hugo",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Gutiérrez Gálvez, Hugo",Sr. Gutiérrez G. Hugo,Partido Comunista,-5
528,"Hasbún Selume, Gustavo",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Hasbún Selume, Gustavo",Sr. Hasbún S. Gustavo,Unión Demócrata Independiente,4
529,"Hernández Hernández, Javier",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Hernández Hernández, Javier",Sr. Hernández H. Javier,Unión Demócrata Independiente,4
530,"Hernando Pérez, Marcela",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Hernando Pérez, Marcela",Sra. Hernando P. Marcela,Partido Radical Social Demócrata,-4
531,"Jackson Drago, Giorgio",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Jackson Drago, Giorgio",Sr. Jackson D. Giorgio,Revolución Democrática,2
532,"Jaramillo Becker, Enrique",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Jaramillo Becker, Enrique",Sr. Jaramillo B. Enrique,Partido Por la Democracia,-2
533,"Jarpa Wevar, Carlos Abel",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Jarpa Wevar, Carlos Abel",Sr. Jarpa W. Carlos Abel,Partido Radical Social Demócrata,-4
534,"Jiménez Fuentes, Tucapel",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Jiménez Fuentes, Tucapel",Sr. Jiménez F. Tucapel,Partido Por la Democracia,-2
535,"Kast Sommerhoff, Felipe",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Kast Sommerhoff, Felipe",Sr. Kast S. Felipe,Evópoli,1
536,"Lavín León, Joaquín",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Lavín León, Joaquín",Sr. Lavín L. Joaquín,Unión Demócrata Independiente,4
537,"Lemus Aracena, Luis",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Lemus Aracena, Luis",Sr. Lemus A. Luis,Partido Socialista,-3
538,"León Ramírez, Roberto",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"León Ramírez, Roberto",Sr. León R. Roberto,Partido Demócrata Cristiano,0
539,"Letelier Norambuena, Felipe",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Letelier Norambuena, Felipe",Sr. Letelier N. Felipe,Partido Por la Democracia,-2
540,"Lorenzini Basso, Pablo",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Lorenzini Basso, Pablo",Sr. Lorenzini B. Pablo,Partido Demócrata Cristiano,0
541,"Melero Abaroa, Patricio",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Melero Abaroa, Patricio",Sr. Melero A. Patricio,Unión Demócrata Independiente,4
542,"Melo Contreras, Daniel",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Melo Contreras, Daniel",Sr. Melo C. Daniel,Partido Socialista,-3
543,"Meza Moncada, Fernando",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Meza Moncada, Fernando",Sr. Meza M. Fernando,Partido Radical Social Demócrata,-4
544,"Mirosevic Verdugo, Vlado",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Mirosevic Verdugo, Vlado",Sr. Mirosevic V. Vlado,Partido Liberal de Chile,1
545,"Molina Oliva, Andrea",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Molina Oliva, Andrea",Sra. Molina O. Andrea,Unión Demócrata Independiente,4
546,"Monckeberg Bruner, Cristián",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Monckeberg Bruner, Cristián",Sr. Monckeberg B. Cristián,Renovación Nacional,2
547,"Monckeberg Díaz, Nicolás",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Monckeberg Díaz, Nicolás",Sr. Monckeberg D. Nicolás,Renovación Nacional,2
548,"Monsalve Benavides, Manuel",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Monsalve Benavides, Manuel",Sr. Monsalve B. Manuel,Partido Socialista,-3
549,"Morales Muñoz, Celso",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Morales Muñoz, Celso",Sr. Morales M. Celso,Unión Demócrata Independiente,4
550,"Morano Cornejo, Juan Enrique",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Morano Cornejo, Juan Enrique",Sr. Morano C. Juan Enrique,Partido Demócrata Cristiano,0
551,"Nogueira Fernández, Claudia",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Nogueira Fernández, Claudia",Sra. Nogueira F. Claudia,Unión Demócrata Independiente,4
552,"Núñez Arancibia, Daniel",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Núñez Arancibia, Daniel",Sr. Núñez A. Daniel,Partido Comunista,-5
553,"Núñez Urrutia, Paulina",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Núñez Urrutia, Paulina",Sra. Núñez U. Paulina,Renovación Nacional,2
554,"Ojeda Uribe, Sergio",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Ojeda Uribe, Sergio",Sr. Ojeda U. Sergio,Partido Demócrata Cristiano,0
555,"Ortiz Novoa, José Miguel",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Ortiz Novoa, José Miguel",Sr. Ortiz N. José Miguel,Partido Demócrata Cristiano,0
556,"Pacheco Rivas, Clemira",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Pacheco Rivas, Clemira",Sra. Pacheco R. Clemira,Partido Socialista,-3
557,"Paulsen Kehr, Diego",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Paulsen Kehr, Diego",Sr. Paulsen K. Diego,Renovación Nacional,2
558,"Pérez Lahsen, Leopoldo",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Pérez Lahsen, Leopoldo",Sr. Pérez L. Leopoldo,Renovación Nacional,2
559,"Poblete Zapata, Roberto",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Poblete Zapata, Roberto",Sr. Poblete Z. Roberto,Independientes,1
560,"Provoste Campillay, Yasna",A Favor,5 de jul de 2017 - 13:59,Boletín N° 10277-06,"Crea la XVI Región de Ñuble y las provincias de Diguillín,...","2 permanente, con las modificaciones propuestas por...",PARTICULAR,APROBADO,92,3,5,Ver,1.0,2017-07-05 13:59:00,2017-07-05 13:59:00 - Boletín N° 10277-06,"Provoste Campillay, Yasna",Sra. Provoste C. Yasna,Partido Demócrata Cristiano,0
