,Person,vote,Fecha,Documento,Materia,Artículo,Tipo,Resultado,Afir.,Neg.,Abst.,Detalle,vote2,date,dateDoc,name1,name2,party,sort
16,"González Torres, Rodrigo",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"González Torres, Rodrigo",Sr. González T. Rodrigo,Partido Por la Democracia,-2
17,"Hernando Pérez, Marcela",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Hernando Pérez, Marcela",Sra. Hernando P. Marcela,Partido Radical Social Demócrata,-4
18,"Hoffmann Opazo, María José",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Hoffmann Opazo, María José",Sra. Hoffmann O. María José,Unión Demócrata Independiente,4
19,"Jaramillo Becker, Enrique",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Jaramillo Becker, Enrique",Sr. Jaramillo B. Enrique,Partido Por la Democracia,-2
20,"Jarpa Wevar, Carlos Abel",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Jarpa Wevar, Carlos Abel",Sr. Jarpa W. Carlos Abel,Partido Radical Social Demócrata,-4
21,"Jiménez Fuentes, Tucapel",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Jiménez Fuentes, Tucapel",Sr. Jiménez F. Tucapel,Partido Por la Democracia,-2
22,"Kast Sommerhoff, Felipe",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Kast Sommerhoff, Felipe",Sr. Kast S. Felipe,Evópoli,1
23,"Lemus Aracena, Luis",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Lemus Aracena, Luis",Sr. Lemus A. Luis,Partido Socialista,-3
24,"León Ramírez, Roberto",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"León Ramírez, Roberto",Sr. León R. Roberto,Partido Demócrata Cristiano,0
25,"Macaya Danús, Javier",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Macaya Danús, Javier",Sr. Macaya D. Javier,Unión Demócrata Independiente,4
26,"Melero Abaroa, Patricio",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Melero Abaroa, Patricio",Sr. Melero A. Patricio,Unión Demócrata Independiente,4
27,"Morales Muñoz, Celso",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Morales Muñoz, Celso",Sr. Morales M. Celso,Unión Demócrata Independiente,4
28,"Norambuena Farías, Iván",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Norambuena Farías, Iván",Sr. Norambuena F. Iván,Unión Demócrata Independiente,4
29,"Núñez Lozano, Marco Antonio",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Núñez Lozano, Marco Antonio",Sr. Núñez L. Marco Antonio,Partido Por la Democracia,-2
30,"Ortiz Novoa, José Miguel",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Ortiz Novoa, José Miguel",Sr. Ortiz N. José Miguel,Partido Demócrata Cristiano,0
31,"Pérez Arriagada, José",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Pérez Arriagada, José",Sr. Pérez A. José,Partido Radical Social Demócrata,-4
32,"Pilowsky Greene, Jaime",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Pilowsky Greene, Jaime",Sr. Pilowsky G. Jaime,Partido Demócrata Cristiano,0
33,"Poblete Zapata, Roberto",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Poblete Zapata, Roberto",Sr. Poblete Z. Roberto,Independientes,1
34,"Provoste Campillay, Yasna",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Provoste Campillay, Yasna",Sra. Provoste C. Yasna,Partido Demócrata Cristiano,0
35,"Robles Pantoja, Alberto",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Robles Pantoja, Alberto",Sr. Robles P. Alberto,Partido Radical Social Demócrata,-4
36,"Sandoval Plaza, David",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Sandoval Plaza, David",Sr. Sandoval P. David,Unión Demócrata Independiente,4
37,"Silber Romo, Gabriel",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Silber Romo, Gabriel",Sr. Silber R. Gabriel,Partido Demócrata Cristiano,0
38,"Silva Méndez, Ernesto",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Silva Méndez, Ernesto",Sr. Silva M. Ernesto,Unión Demócrata Independiente,4
39,"Squella Ovalle, Arturo",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Squella Ovalle, Arturo",Sr. Squella O. Arturo,Unión Demócrata Independiente,4
40,"Torres Jeldes, Víctor",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Torres Jeldes, Víctor",Sr. Torres J. Víctor,Partido Demócrata Cristiano,0
41,"Trisotti Martínez, Renzo",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Trisotti Martínez, Renzo",Sr. Trisotti M. Renzo,Unión Demócrata Independiente,4
42,"Turres Figueroa, Marisol",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Turres Figueroa, Marisol",Sra. Turres F. Marisol,Unión Demócrata Independiente,4
43,"Ulloa Aguillón, Jorge",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Ulloa Aguillón, Jorge",Sr. Ulloa A. Jorge,Unión Demócrata Independiente,4
44,"Urízar Muñoz, Christian",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Urízar Muñoz, Christian",Sr. Urízar M. Christian,Partido Socialista,-3
45,"Urrutia Bonilla, Ignacio",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Urrutia Bonilla, Ignacio",Sr. Urrutia B. Ignacio,Unión Demócrata Independiente,4
46,"Urrutia Soto, Osvaldo",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Urrutia Soto, Osvaldo",Sr. Urrutia S. Osvaldo,Unión Demócrata Independiente,4
47,"Verdugo Soto, Germán",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Verdugo Soto, Germán",Sr. Verdugo S. Germán,Renovación Nacional,2
48,"Walker Prieto, Matías",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Walker Prieto, Matías",Sr. Walker P. Matías,Partido Demócrata Cristiano,0
49,"Aguiló Melo, Sergio",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Aguiló Melo, Sergio",Sr. Aguiló M. Sergio,Izquierda Ciudadana,-3
50,"Andrade Lara, Osvaldo",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Andrade Lara, Osvaldo",Sr. Andrade L. Osvaldo,Partido Socialista,-3
51,"Boric Font, Gabriel",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Boric Font, Gabriel",Sr. Boric F. Gabriel,Independientes,1
52,"Cariola Oliva, Karol",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Cariola Oliva, Karol",Sra. Cariola O. Karol,Partido Comunista,-5
53,"Chahin Valenzuela, Fuad",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Chahin Valenzuela, Fuad",Sr. Chahin V. Fuad,Partido Demócrata Cristiano,0
54,"De Mussy Hiriart, Felipe",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"De Mussy Hiriart, Felipe",Sr. De Mussy H. Felipe,Unión Demócrata Independiente,4
55,"Gahona Salazar, Sergio",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Gahona Salazar, Sergio",Sr. Gahona S. Sergio,Unión Demócrata Independiente,4
56,"Gutiérrez Gálvez, Hugo",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Gutiérrez Gálvez, Hugo",Sr. Gutiérrez G. Hugo,Partido Comunista,-5
57,"Jackson Drago, Giorgio",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Jackson Drago, Giorgio",Sr. Jackson D. Giorgio,Revolución Democrática,2
58,"Pacheco Rivas, Clemira",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Pacheco Rivas, Clemira",Sra. Pacheco R. Clemira,Partido Socialista,-3
59,"Pérez Lahsen, Leopoldo",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Pérez Lahsen, Leopoldo",Sr. Pérez L. Leopoldo,Renovación Nacional,2
60,"Sabag Villalobos, Jorge",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Sabag Villalobos, Jorge",Sr. Sabag V. Jorge,Partido Demócrata Cristiano,0
61,"Sabat Fernández, Marcela",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Sabat Fernández, Marcela",Sra. Sabat F. Marcela,Renovación Nacional,2
62,"Saffirio Espinoza, René",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Saffirio Espinoza, René",Sr. Saffirio E. René,Independientes,1
63,"Sepúlveda Orbenes, Alejandra",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Sepúlveda Orbenes, Alejandra",Sra. Sepúlveda O. Alejandra,Independientes,1
64,"Teillier Del Valle, Guillermo",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Teillier Del Valle, Guillermo",Sr. Teillier D. Guillermo,Partido Comunista,-5
65,"Vallejo Dowling, Camila",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Vallejo Dowling, Camila",Sra. Vallejo D. Camila,Partido Comunista,-5
66,"Vallespín López, Patricio",En Contra,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Vallespín López, Patricio",Sr. Vallespín L. Patricio,Partido Demócrata Cristiano,0
67,"Alvarez-Salamanca Ramírez, Pedro Pablo",Abstención,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-2.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Alvarez-Salamanca Ramírez, Pedro Pablo",Sr. Alvarez-Salamanca R. Pedro Pablo,Unión Demócrata Independiente,4
68,"Auth Stewart, Pepe",Abstención,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-2.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Auth Stewart, Pepe",Sr. Auth S. Pepe,Independientes,1
69,"Chávez Velásquez, Marcelo",Abstención,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-2.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Chávez Velásquez, Marcelo",Sr. Chávez V. Marcelo,Partido Demócrata Cristiano,0
70,"Cicardini Milla, Daniella",Abstención,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-2.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Cicardini Milla, Daniella",Sra. Cicardini M. Daniella,Partido Socialista,-3
71,"Fuentes Castillo, Iván",Abstención,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-2.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Fuentes Castillo, Iván",Sr. Fuentes C. Iván,Independientes,1
72,"Girardi Lavín, Cristina",Abstención,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-2.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Girardi Lavín, Cristina",Sra. Girardi L. Cristina,Partido Por la Democracia,-2
73,"Letelier Norambuena, Felipe",Abstención,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,-2.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10,"Letelier Norambuena, Felipe",Sr. Letelier N. Felipe,Partido Por la Democracia,-2
