,Person,vote,date,Fecha,Documento,Materia,Artículo,Tipo,Resultado,Afir.,Neg.,Abst.,Detalle,vote2,date1,dateDoc
2017-07-06 12:21:00,"Jaramillo Becker, Enrique",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Jarpa Wevar, Carlos Abel",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Jiménez Fuentes, Tucapel",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Kast Sommerhoff, Felipe",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Lemus Aracena, Luis",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"León Ramírez, Roberto",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Macaya Danús, Javier",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Melero Abaroa, Patricio",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Morales Muñoz, Celso",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Norambuena Farías, Iván",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Núñez Lozano, Marco Antonio",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Ortiz Novoa, José Miguel",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Pérez Arriagada, José",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Pilowsky Greene, Jaime",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Poblete Zapata, Roberto",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Provoste Campillay, Yasna",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Robles Pantoja, Alberto",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
2017-07-06 12:21:00,"Sandoval Plaza, David",A Favor,06 de jul de 2017 12:21,06 de jul. de 2017,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
