,Person,vote,Fecha,Documento,Materia,Artículo,Tipo,Resultado,Afir.,Neg.,Abst.,Detalle,vote2,date,dateDoc
22,"Kast Sommerhoff, Felipe",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
23,"Lemus Aracena, Luis",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
24,"León Ramírez, Roberto",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
25,"Macaya Danús, Javier",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
26,"Melero Abaroa, Patricio",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
27,"Morales Muñoz, Celso",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
28,"Norambuena Farías, Iván",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
29,"Núñez Lozano, Marco Antonio",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
30,"Ortiz Novoa, José Miguel",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
31,"Pérez Arriagada, José",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
32,"Pilowsky Greene, Jaime",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
33,"Poblete Zapata, Roberto",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
34,"Provoste Campillay, Yasna",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
35,"Robles Pantoja, Alberto",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
36,"Sandoval Plaza, David",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
37,"Silber Romo, Gabriel",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
38,"Silva Méndez, Ernesto",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
39,"Squella Ovalle, Arturo",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
40,"Torres Jeldes, Víctor",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
41,"Trisotti Martínez, Renzo",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
42,"Turres Figueroa, Marisol",A Favor,6 de jul de 2017 - 12:21,Boletín N° 10207-10,Aprueba el acuerdo entre el Gobierno de la República...,,UNICA,APROBADO,49,18,13,Ver,1.0,2017-07-06 12:21:00,2017-07-06 12:21:00 - Boletín N° 10207-10
